timestamp,angle,correct
1750986983.062871,30.37,0
1750986983.1349506,39.87,0
1750986983.2074387,50.02,0
1750986983.288809,29.32,0
1750986983.3992822,148.04,0
1750986983.5075796,87.50,0
1750986983.6252995,47.43,0
1750986983.739742,64.48,0
1750986983.8541222,55.33,0
1750986983.9648113,93.30,0
1750986984.0807843,30.02,0
1750986984.1946619,32.96,0
1750986984.3090105,155.73,0
1750986984.4244635,158.30,0
1750986984.544262,63.63,0
1750986984.6605713,125.30,0
1750986984.7672608,123.90,0
1750986984.8733342,161.00,0
1750986984.9841216,146.21,0
1750986985.09494,69.65,0
1750986985.2042425,138.48,0
1750986985.3162873,141.95,0
1750986985.4292178,97.23,0
1750986985.539342,135.64,0
1750986985.6449888,107.82,0
1750986985.7632618,99.39,0
1750986985.8844514,33.72,0
1750986985.9983401,176.18,1
1750986986.1128526,175.18,1
1750986986.2224371,159.06,0
1750986986.3376713,82.14,0
1750986986.450708,17.84,0
1750986986.5630846,61.47,0
1750986986.674557,2.72,0
1750986986.7884498,61.02,0
1750986986.89664,168.53,0
1750986987.0065243,179.28,1
1750986987.1187432,150.61,0
1750986987.2316763,166.94,0
1750986987.3385344,168.84,0
1750986987.4338698,170.47,0
1750986987.538129,175.77,1
1750986987.6411014,168.56,0
1750986987.7497268,161.13,0
1750986987.8611536,166.82,0
1750986987.9839082,155.89,0
1750986988.1021178,123.58,0
1750986988.2180984,95.88,0
1750986988.3251467,89.59,0
1750986988.4392478,94.73,0
1750986988.5482485,91.41,0
1750986988.653412,106.31,0
1750986988.766697,102.75,0
1750986988.880077,81.38,0
1750986988.9961977,84.12,0
1750986989.098075,95.11,0
1750986989.2094276,98.65,0
1750986989.3211877,167.71,0
1750986989.4403918,169.17,0
1750986989.5431824,168.22,0
1750986989.6539953,165.24,0
1750986989.7630022,129.24,0
1750986989.8734708,98.62,0
1750986989.989735,149.37,0
1750986990.1019735,104.80,0
1750986990.2218084,99.02,0
1750986990.3349404,78.21,0
1750986990.4376476,72.91,0
1750986990.5510356,71.81,0
1750986990.6817157,89.26,0
1750986990.7944198,118.89,0
1750986990.9222887,147.49,0
1750986991.034835,154.31,0
1750986991.139988,168.92,0
1750986991.262069,170.64,0
1750986991.3699589,164.53,0
1750986991.4824862,130.52,0
1750986991.5852492,122.48,0
1750986991.6964552,96.21,0
1750986991.8006103,87.29,0
1750986991.9176083,83.69,0
1750986992.02162,83.36,0
1750986992.1362152,83.72,0
1750986992.2535026,87.75,0
1750986992.3618836,130.93,0
1750986992.4684517,19.19,0
1750986992.5812535,14.49,0
1750986992.698069,171.50,0
1750986992.8102486,157.39,0
1750986992.9300342,130.21,0
1750986993.0436494,89.11,0
1750986993.147124,80.91,0
1750986993.2602193,77.61,0
1750986993.381206,73.47,0
1750986993.4947534,72.29,0
1750986993.6001768,78.09,0
1750986993.7083347,79.99,0
1750986993.8165214,95.76,0
1750986993.9297988,130.02,0
1750986994.034629,170.91,0
1750986994.1529896,177.66,1
1750986994.2636466,172.03,0
1750986994.3830812,178.55,1
1750986994.4927702,178.89,1
1750986994.600074,168.75,0
1750986994.7111285,173.82,0
1750986994.826146,170.66,0
1750986994.942131,163.40,0
1750986995.063262,161.54,0
1750986995.1703045,148.36,0
1750986995.281517,126.27,0
1750986995.390878,133.10,0
1750986995.5008636,145.89,0
1750986995.6084907,153.24,0
1750986995.7202423,167.47,0
1750986995.834621,177.14,1
1750986995.9449806,177.54,1
1750986996.0482318,118.75,0
1750986996.1587439,126.07,0
1750986996.2735865,111.13,0
1750986996.389841,83.10,0
1750986996.4991572,82.45,0
1750986996.6151626,88.73,0
1750986996.7460313,102.72,0
1750986996.854823,105.71,0
1750986996.968092,111.79,0
1750986997.0787969,114.82,0
1750986997.1739528,118.90,0
1750986997.2920194,122.69,0
